Dr Score,Place after Dr,XC Jump,XC Time,Total after XC,Place after XC,SJ Jump,SJ Time,Total after SJ,Final Place,Year,Division
33.5,26T,0,0,33.5,19,0,0,33.5,17,2017,Y
30.3,13T,0,3.6,33.9,21,0,0,33.9,18,2017,Y
34,30,0,0,34,22,0,0,34,19,2017,Y
34.3,31,0,0,34.3,23,0,0,34.3,20,2017,Y
34.5,32T,0,0,34.5,24T,0,0,34.5,21,2017,Y
35.5,35,0,0,35.5,27,0,0,35.5,22,2017,Y
31,18T,0,5.2,36.2,28,0,0,36.2,23,2017,Y
36,37,0,0.4,36.4,29,0,0,36.4,24,2017,Y
32.5,23,0,0,32.5,17,4,0,36.5,25,2017,Y
36.8,38,0,0.8,37.6,31,0,0,37.6,26,2017,Y
33.8,28T,0,0,33.8,20,4,0,37.8,27,2017,Y
34.5,32T,0,0,34.5,24T,4,0,38.5,28,2017,Y
30.3,13T,0,0,30.3,12,4,6,40.3,29,2017,Y
33.5,26T,0,3.2,36.7,30,4,0,40.7,30,2017,Y
38,39,0,0,38,32,4,0,42,31,2017,Y
41.5,41,0,0,41.5,33,4,0,45.5,32,2017,Y
34.5,32T,0,0,34.5,24T,4,12,50.5,33,2017,Y
30.8,16T,20,4.8,55.6,35,0,0,55.6,34,2017,Y
28.5,7,60,0,88.5,36,0,0,88.5,35,2017,Y
35.8,36,0,105.2,141,37,4,0,145,36,2017,Y
33,24T,20,0,53,34,0,---,---,MR,2017,Y
30.8,16T,0,0,---,TE,---,---,---,TE,2017,Y
32,21,20,---,---,RF,---,---,---,RF,2017,Y
33.8,28T,20,---,---,RF,---,---,---,RF,2017,Y
39,40,---,---,---,W,---,---,---,W,2017,Y
26.5,2,0,0,26.5,1,0,1,27.5,1,2016,Y
27.5,3,0,0,27.5,2,0,0,27.5,2,2016,Y
27.8,4,0,0,27.8,3,0,0,27.8,3,2016,Y
29.3,5,0,0,29.3,4,0,0,29.3,4,2016,Y
30,6T,0,0,30,5,0,0,30,5,2016,Y
30.8,9,0,0,30.8,6,0,0,30.8,6,2016,Y
31.3,10,0,0,31.3,7,0,0,31.3,7,2016,Y
